Project_ID,Identifier
114,http://datainventory.doi.gov/id/dataset/NPS_DataStore_2304495
47,http://datainventory.doi.gov/id/dataset/NPS_DataStore_2317085
118,http://datainventory.doi.gov/id/dataset/USGS_0a826d65-fb83-4da0-86cb-91002d0b1ddf
137,http://datainventory.doi.gov/id/dataset/USGS_58068050e4b0824b2d1d415d
75,http://datainventory.doi.gov/id/dataset/USGS_5a133f8ae4b09fc93dce6552
41,https://api.census.gov/data/id/ACSST1Y2015
129,https://api.census.gov/data/id/CPSARTSBENCH202002
65,https://api.census.gov/data/id/CPSASEC2025
143,https://api.census.gov/data/id/CPSASEC2025
8,https://api.trade.gov/data/id/ITA-0069
21,https://blm-egis.maps.arcgis.com/home/item.html?id=5037ae54c642469ebba593be837d8382&sublayer=32
119,https://blm-egis.maps.arcgis.com/home/item.html?id=abec5ef96dc8495d9c29a01b30cc04ee&sublayer=0
145,https://data.austintexas.gov/api/views/4kn4-2437
63,https://data.austintexas.gov/api/views/8w53-c4f6
138,https://data.austintexas.gov/api/views/8w53-c4f6
26,https://data.austintexas.gov/api/views/cb3v-iep4
78,https://data.austintexas.gov/api/views/dvwk-533c
120,https://data.austintexas.gov/api/views/nui6-x374
7,https://data.austintexas.gov/api/views/xad4-d2x2
133,https://data.bloomington.in.gov/api/views/tmwq-9djy
11,https://data.cdc.gov/api/views/e2d5-ggg7
90,https://data.cdc.gov/api/views/jiwm-ppbh
15,https://data.cdc.gov/api/views/k5bc-k3g8
53,https://data.cdc.gov/api/views/swc5-untb
114,https://data.cityofchicago.org/api/views/bynn-gwxy
77,https://data.cityofchicago.org/api/views/u9xt-hiju
73,https://data.cityofnewyork.us/api/views/43nn-pn8j
119,https://data.cityofnewyork.us/api/views/4mhf-duep
101,https://data.cityofnewyork.us/api/views/gqq2-hgxd
50,https://data.cityofnewyork.us/api/views/nzjr-3966
146,https://data.cityofnewyork.us/api/views/pe54-wf39
53,https://data.cityofnewyork.us/api/views/pmsy-ewrc
42,https://data.cityofnewyork.us/api/views/qgea-i56i
35,https://data.cityofnewyork.us/api/views/rsgh-akpg
124,https://data.cityofnewyork.us/api/views/v57i-gtxb
116,https://data.cityofnewyork.us/api/views/w3wp-dpdi
27,https://data.cityofnewyork.us/api/views/w65z-zif5
66,https://data.cms.gov/data-api/v1/dataset/14d8e8a9-7e9b-4370-a044-bf97c46b4b44/data-viewer
64,https://data.cms.gov/data-api/v1/dataset/4bcae866-3411-439a-b762-90a6187c194b/data-viewer
34,https://data.cms.gov/data-api/v1/dataset/76a714ad-3a2c-43ac-b76d-9dadf8f7d890/data-viewer
50,https://data.cms.gov/data-api/v1/dataset/86b4807a-d63a-44be-bfdf-ffd398d5e623/data-viewer
69,https://data.cms.gov/data-api/v1/dataset/9767cb68-8ea9-4f0b-8179-9431abc89f11/data-viewer
48,https://data.ct.gov/api/views/5mzw-sjtu
105,https://data.ct.gov/api/views/ah3s-bes7
53,https://data.ct.gov/api/views/emyx-j53e
75,https://data.ct.gov/api/views/imqd-at3c
34,https://data.ct.gov/api/views/jyg4-yu7v
55,https://data.ct.gov/api/views/krqq-6qhc
141,https://data.ct.gov/api/views/xf6g-659c
10,https://data.iowa.gov/api/views/gckp-fe7r
16,https://data.iowa.gov/api/views/gckp-fe7r
132,https://data.iowa.gov/api/views/gckp-fe7r
25,https://data.iowa.gov/api/views/m3tr-qhgy
107,https://data.iowa.gov/api/views/qu5a-5eu4
30,https://data.lacity.org/api/views/29fd-3paw
70,https://data.lacity.org/api/views/29fd-3paw
46,https://data.lacity.org/api/views/63jg-8b9z
99,https://data.lacity.org/api/views/r4ka-x5je
22,https://data.lacity.org/api/views/yru6-6re4
24,https://data.mo.gov/api/views/fenu-sipv
147,https://data.nola.gov/api/views/b64f-vr88
103,https://data.nola.gov/api/views/es9j-6y5d
121,https://data.nola.gov/api/views/es9j-6y5d
49,https://data.nola.gov/api/views/j3gz-62a2
88,https://data.ny.gov/api/views/2ucp-7wg5
97,https://data.ny.gov/api/views/5wq4-mkjj
44,https://data.ny.gov/api/views/e2u6-bmnn
126,https://data.ny.gov/api/views/fgvt-qr4i
141,https://data.ny.gov/api/views/fn46-66ir
144,https://data.ny.gov/api/views/fn46-66ir
128,https://data.ny.gov/api/views/juva-r6g2
131,https://data.ny.gov/api/views/n2pf-h43s
43,https://data.ny.gov/api/views/tgiq-jafi
17,https://data.ny.gov/api/views/tk82-7km5
13,https://data.ny.gov/api/views/uv5h-dfhp
111,https://data.openei.org/submissions/178
69,https://data.openei.org/submissions/276
11,https://data.openei.org/submissions/2981
5,https://data.openei.org/submissions/5974
71,https://data.openei.org/submissions/6460
20,https://data.openei.org/submissions/738
85,https://data.openei.org/submissions/8228
69,https://data.openei.org/submissions/8342
52,https://data.oregon.gov/api/views/fbwv-q84y
134,https://data.oregon.gov/api/views/g77e-6bhs
87,https://data.oregon.gov/api/views/p9yn-ftai
106,https://data.oregon.gov/api/views/tckn-sxa6
60,https://data.sfgov.org/api/views/9tj4-z32q
80,https://data.sfgov.org/api/views/9tj4-z32q
70,https://data.sfgov.org/api/views/gnap-fj3t
111,https://data.sfgov.org/api/views/m8hk-2ipk
61,https://data.sfgov.org/api/views/nuek-vuh3
113,https://data.sfgov.org/api/views/rkru-6vcg
19,https://data.transportation.gov/api/views/3qgg-2u2a
26,https://data.transportation.gov/api/views/3qgg-2u2a
102,https://data.transportation.gov/api/views/98fi-ujit
56,https://data.transportation.gov/api/views/byy5-w977
23,https://data.transportation.gov/api/views/e5cn-ri8q
137,https://data.transportation.gov/api/views/h77j-murt
40,https://data.transportation.gov/api/views/keg4-3bc2
72,https://data.transportation.gov/api/views/tcq5-4pgu
76,https://data.transportation.gov/api/views/tcq5-4pgu
6,https://data.transportation.gov/api/views/uyr2-7q4x
136,https://data.transportation.gov/api/views/xp92-5xme
12,https://data.transportation.gov/api/views/y5ut-ibwt
23,https://data.wa.gov/api/views/3d5d-sdqb
78,https://data.wa.gov/api/views/fysr-7kwx
3,https://data.wa.gov/api/views/s66s-4ves
83,https://data.wa.gov/api/views/tfs4-sdfn
61,https://datacatalog.cookcountyil.gov/api/views/xu6t-uvny
76,https://datadiscovery.nlm.nih.gov/api/views/4jy8-nv98
10,https://datadiscovery.nlm.nih.gov/api/views/aq5x-f2xa
36,https://datadiscovery.nlm.nih.gov/api/views/crzr-uvwg
77,https://datadiscovery.nlm.nih.gov/api/views/eef4-55cr
82,https://datadiscovery.nlm.nih.gov/api/views/r48h-qc9c
7,https://datadiscovery.nlm.nih.gov/api/views/vp23-ayt5
67,https://datadiscovery.nlm.nih.gov/api/views/wm3j-izuq
92,https://datahub-v2.arlingtonva.us/api/RealEstate/SalesHistory
8,https://datainventory.usbr.gov/rise/item/7
4,https://doi.org/10.23719/1390141
22,https://doi.org/10.23719/1520443
51,https://doi.org/10.23719/1524744
13,https://doi.org/10.23719/1527730
30,https://doi.org/10.23719/1531141
96,https://doi.org/10.23719/1531948
17,https://doi.org/10.23719/d-73nn
63,https://doi.org/10.23719/d-sj4r
132,https://doi.org/10.23719/d-sj4r
38,https://healthdata.gov/api/views/23fv-qzpu
77,https://healthdata.gov/api/views/7i53-xc4a
14,https://healthdata.gov/api/views/88gj-w5in
11,https://healthdata.gov/api/views/a848-5u6i
64,https://healthdata.gov/api/views/gihz-mcs6
117,https://healthdata.gov/api/views/n7m7-8qpq
42,https://healthdata.gov/api/views/qx9k-eb9i
131,https://opendata.fcc.gov/api/views/78n9-wprc
118,https://opendata.fcc.gov/api/views/nsck-y87u
98,https://opendata.maryland.gov/api/views/28ae-7fxc
95,https://opendata.maryland.gov/api/views/cf8k-mtbu
86,https://www.arcgis.com/home/item.html?id=1a714ebe2aae41b6a5c2dd96fb613733&sublayer=12
144,https://www.arcgis.com/home/item.html?id=2b81faff2018425b9e7b438fb606b8ed
48,https://www.arcgis.com/home/item.html?id=4726274b9bde451ebe679127e50c75ef&sublayer=0
4,https://www.arcgis.com/home/item.html?id=53ebb32c25054536978bbb9b0ff436cf&sublayer=18
115,https://www.arcgis.com/home/item.html?id=586a475ec2b74defa1ac2ec3221a6aaf
13,https://www.arcgis.com/home/item.html?id=6c7fbc5f28c848358874be67ceb76744&sublayer=0
109,https://www.arcgis.com/home/item.html?id=718497a94a15450d8d48b51625dc330f
105,https://www.arcgis.com/home/item.html?id=7b632f79d9e8404299d7083b891e8ad2
142,https://www.arcgis.com/home/item.html?id=847db1a51b0c4bb0a3663bcbce32ccb1&sublayer=63
35,https://www.arcgis.com/home/item.html?id=9064a3cff7564a1bb2f0288db71767bd&sublayer=3
35,https://www.arcgis.com/home/item.html?id=92c87016044546c78167ccae71efc7bc&sublayer=11
135,https://www.arcgis.com/home/item.html?id=a3ed163dbf994792a010d742ef1f683d&sublayer=6
62,https://www.arcgis.com/home/item.html?id=b1db18de82434dcda9f96ea49d079e6a&sublayer=25
68,https://www.arcgis.com/home/item.html?id=b1db18de82434dcda9f96ea49d079e6a&sublayer=25
120,https://www.arcgis.com/home/item.html?id=c973f1d0e9d14279934b8c3961e6a513&sublayer=4
91,https://www.arcgis.com/home/item.html?id=d2937ee4e83140559d94080237a6e84c
60,https://www.arcgis.com/home/item.html?id=d589210147204f0286289d1636aa86ed&sublayer=0
112,https://www.arcgis.com/home/item.html?id=fbe1acb8e218423dae6cb2b846ba0c88&sublayer=0
123,https://www.bea.gov/tourism-satellite-accounts-data-sheets
38,https://www.data.va.gov/api/views/74ts-jsvb
40,https://www.data.va.gov/api/views/74ts-jsvb
21,https://www.sec.gov/node/86016
17,https://www.sec.gov/node/92751
58,https://www.sec.gov/node/92751
80,HUD017
74,ICE-PFR-NonDetainedDocketPopulation
54,MGMT-GMO-HIFLD-306049
128,MGMT-GMO-HIFLD-401937
82,MGMT-GMO-HIFLD-473354
143,MGMT-GMO-HIFLD-835338
23,MGMT-GMO-HIFLD-905606
18,MSHA-19-012:030-175
93,MSHA-19-012:030-179
25,MSHA-19-012:030-185
100,MSHA-19-012:030-185
30,NARA-4794
59,NARA-AAD
70,NARA-AAD
1,NASA-0000110
114,ngp:f65bb25a-5fa4-496b-806d-1caab269d754
123,NRCS0061
94,ODP-PFW-API
140,omb-brd-0001
28,SOCMED
24,TSA-bb24d82d-86d5-4823-9291-95d657971217
62,US-GOV-SSA-338
6,US-GOV-SSA-530
107,USDA-ERS-00086
74,USDA-ERS-26071
37,USDA-ERS-26471
79,USDA-ERS-29151
130,USDA-FNS-00010
24,USDA-FNS-124
43,usda-fsis-006
42,USDA-NASS-00004
129,VA-NCA-CSD-001
84,WHD-16-012:027-381
